2019-03-22 00:00:25,https://apple.news/ArT9P-wquTia9x5INBFPDbA,https://apple.news/A2GgA50mqQlWndDUz6LyjBw,https://apple.news/AmUlxoZ7bRYyFKPgIEs6QAQ
2019-03-22 00:05:12,https://apple.news/A_2KbaObiQk2Rrn_-X3uXug,https://apple.news/ArT9P-wquTia9x5INBFPDbA,https://apple.news/A2GgA50mqQlWndDUz6LyjBw,https://apple.news/AmUlxoZ7bRYyFKPgIEs6QAQ
2019-03-22 00:10:12,https://apple.news/A_2KbaObiQk2Rrn_-X3uXug,https://apple.news/ArT9P-wquTia9x5INBFPDbA,https://apple.news/A2GgA50mqQlWndDUz6LyjBw,https://apple.news/AmUlxoZ7bRYyFKPgIEs6QAQ
2019-03-22 00:15:12,https://apple.news/A_2KbaObiQk2Rrn_-X3uXug,https://apple.news/ArT9P-wquTia9x5INBFPDbA,https://apple.news/A2GgA50mqQlWndDUz6LyjBw,https://apple.news/AmUlxoZ7bRYyFKPgIEs6QAQ
2019-03-22 00:20:12,https://apple.news/A_2KbaObiQk2Rrn_-X3uXug,https://apple.news/ArT9P-wquTia9x5INBFPDbA,https://apple.news/A2GgA50mqQlWndDUz6LyjBw,https://apple.news/AmUlxoZ7bRYyFKPgIEs6QAQ
2019-03-22 00:25:12,https://apple.news/A_2KbaObiQk2Rrn_-X3uXug,https://apple.news/ArT9P-wquTia9x5INBFPDbA,https://apple.news/A2GgA50mqQlWndDUz6LyjBw,https://apple.news/AmUlxoZ7bRYyFKPgIEs6QAQ
2019-03-22 00:30:12,https://apple.news/ArT9P-wquTia9x5INBFPDbA,https://apple.news/A2GgA50mqQlWndDUz6LyjBw,https://apple.news/AmUlxoZ7bRYyFKPgIEs6QAQ
2019-03-22 00:35:12,https://apple.news/A_2KbaObiQk2Rrn_-X3uXug,https://apple.news/ArT9P-wquTia9x5INBFPDbA,https://apple.news/A2GgA50mqQlWndDUz6LyjBw,https://apple.news/AmUlxoZ7bRYyFKPgIEs6QAQ
2019-03-22 00:40:12,https://apple.news/A_2KbaObiQk2Rrn_-X3uXug,https://apple.news/ArT9P-wquTia9x5INBFPDbA,https://apple.news/A2GgA50mqQlWndDUz6LyjBw,https://apple.news/AmUlxoZ7bRYyFKPgIEs6QAQ
2019-03-22 00:45:11,https://apple.news/A_2KbaObiQk2Rrn_-X3uXug,https://apple.news/ArT9P-wquTia9x5INBFPDbA,https://apple.news/A2GgA50mqQlWndDUz6LyjBw,https://apple.news/AmUlxoZ7bRYyFKPgIEs6QAQ
2019-03-22 00:50:11,https://apple.news/A_2KbaObiQk2Rrn_-X3uXug,https://apple.news/ArT9P-wquTia9x5INBFPDbA,https://apple.news/A2GgA50mqQlWndDUz6LyjBw,https://apple.news/AmUlxoZ7bRYyFKPgIEs6QAQ
2019-03-22 00:55:12,https://apple.news/A_2KbaObiQk2Rrn_-X3uXug,https://apple.news/ArT9P-wquTia9x5INBFPDbA,https://apple.news/A2GgA50mqQlWndDUz6LyjBw,https://apple.news/AmUlxoZ7bRYyFKPgIEs6QAQ
2019-03-22 01:00:13,https://apple.news/A_2KbaObiQk2Rrn_-X3uXug,https://apple.news/ArT9P-wquTia9x5INBFPDbA,https://apple.news/A2GgA50mqQlWndDUz6LyjBw,https://apple.news/AmUlxoZ7bRYyFKPgIEs6QAQ
2019-03-22 01:05:12,https://apple.news/A_2KbaObiQk2Rrn_-X3uXug,https://apple.news/ArT9P-wquTia9x5INBFPDbA,https://apple.news/A2GgA50mqQlWndDUz6LyjBw,https://apple.news/AmUlxoZ7bRYyFKPgIEs6QAQ
2019-03-22 01:10:11,https://apple.news/A_2KbaObiQk2Rrn_-X3uXug,https://apple.news/ArT9P-wquTia9x5INBFPDbA,https://apple.news/A2GgA50mqQlWndDUz6LyjBw,https://apple.news/AmUlxoZ7bRYyFKPgIEs6QAQ
2019-03-22 01:15:13,https://apple.news/A_2KbaObiQk2Rrn_-X3uXug,https://apple.news/ArT9P-wquTia9x5INBFPDbA,https://apple.news/A2GgA50mqQlWndDUz6LyjBw,https://apple.news/AmUlxoZ7bRYyFKPgIEs6QAQ
2019-03-22 01:20:11,https://apple.news/A_2KbaObiQk2Rrn_-X3uXug,https://apple.news/ArT9P-wquTia9x5INBFPDbA,https://apple.news/A2GgA50mqQlWndDUz6LyjBw,https://apple.news/AmUlxoZ7bRYyFKPgIEs6QAQ
2019-03-22 01:25:13,https://apple.news/A_2KbaObiQk2Rrn_-X3uXug,https://apple.news/ArT9P-wquTia9x5INBFPDbA,https://apple.news/A2GgA50mqQlWndDUz6LyjBw,https://apple.news/AmUlxoZ7bRYyFKPgIEs6QAQ
2019-03-22 01:30:12,https://apple.news/A_2KbaObiQk2Rrn_-X3uXug,https://apple.news/ArT9P-wquTia9x5INBFPDbA,https://apple.news/A2GgA50mqQlWndDUz6LyjBw,https://apple.news/AmUlxoZ7bRYyFKPgIEs6QAQ
2019-03-22 01:35:12,https://apple.news/A_2KbaObiQk2Rrn_-X3uXug,https://apple.news/ArT9P-wquTia9x5INBFPDbA,https://apple.news/A2GgA50mqQlWndDUz6LyjBw,https://apple.news/AmUlxoZ7bRYyFKPgIEs6QAQ
2019-03-22 01:40:12,https://apple.news/A_2KbaObiQk2Rrn_-X3uXug,https://apple.news/ArT9P-wquTia9x5INBFPDbA,https://apple.news/A2GgA50mqQlWndDUz6LyjBw,https://apple.news/AmUlxoZ7bRYyFKPgIEs6QAQ
