2019-05-04 00:05:03,,https://apple.news/AqIdzxu6MQNK-xCOw-qdmEg,https://apple.news/A4f5GIXovQ1yj3Ag3tZIRpg,https://apple.news/AptR0WNr1R-S2GmpwiqdvHg
2019-05-04 00:10:01,https://apple.news/AAgY-Kh1QSlSchO7dT0YTkQ,https://apple.news/Ad8zuDwiuT0yZo839CmNV7g,https://apple.news/AqIdzxu6MQNK-xCOw-qdmEg,https://apple.news/A4f5GIXovQ1yj3Ag3tZIRpg,https://apple.news/AptR0WNr1R-S2GmpwiqdvHg
2019-05-04 00:15:01,https://apple.news/AAgY-Kh1QSlSchO7dT0YTkQ,https://apple.news/Ad8zuDwiuT0yZo839CmNV7g,https://apple.news/AqIdzxu6MQNK-xCOw-qdmEg,https://apple.news/A4f5GIXovQ1yj3Ag3tZIRpg,https://apple.news/AptR0WNr1R-S2GmpwiqdvHg
2019-05-04 00:20:01,https://apple.news/AAgY-Kh1QSlSchO7dT0YTkQ,https://apple.news/Ad8zuDwiuT0yZo839CmNV7g,https://apple.news/AqIdzxu6MQNK-xCOw-qdmEg,https://apple.news/A4f5GIXovQ1yj3Ag3tZIRpg,https://apple.news/AptR0WNr1R-S2GmpwiqdvHg
2019-05-04 00:25:00,https://apple.news/AAgY-Kh1QSlSchO7dT0YTkQ,https://apple.news/Ad8zuDwiuT0yZo839CmNV7g,https://apple.news/AqIdzxu6MQNK-xCOw-qdmEg,https://apple.news/A4f5GIXovQ1yj3Ag3tZIRpg,https://apple.news/AptR0WNr1R-S2GmpwiqdvHg
2019-05-04 00:30:01,https://apple.news/AAgY-Kh1QSlSchO7dT0YTkQ,https://apple.news/Ad8zuDwiuT0yZo839CmNV7g,https://apple.news/AqIdzxu6MQNK-xCOw-qdmEg,https://apple.news/A4f5GIXovQ1yj3Ag3tZIRpg,https://apple.news/AptR0WNr1R-S2GmpwiqdvHg
2019-05-04 00:35:01,https://apple.news/AAgY-Kh1QSlSchO7dT0YTkQ,https://apple.news/Ad8zuDwiuT0yZo839CmNV7g,https://apple.news/AqIdzxu6MQNK-xCOw-qdmEg,https://apple.news/A4f5GIXovQ1yj3Ag3tZIRpg,https://apple.news/AptR0WNr1R-S2GmpwiqdvHg
2019-05-04 00:40:01,https://apple.news/AAgY-Kh1QSlSchO7dT0YTkQ,https://apple.news/Ad8zuDwiuT0yZo839CmNV7g,https://apple.news/AqIdzxu6MQNK-xCOw-qdmEg,https://apple.news/A4f5GIXovQ1yj3Ag3tZIRpg,https://apple.news/AptR0WNr1R-S2GmpwiqdvHg
2019-05-04 00:45:01,https://apple.news/AAgY-Kh1QSlSchO7dT0YTkQ,https://apple.news/Ad8zuDwiuT0yZo839CmNV7g,https://apple.news/AqIdzxu6MQNK-xCOw-qdmEg,https://apple.news/A4f5GIXovQ1yj3Ag3tZIRpg,https://apple.news/AptR0WNr1R-S2GmpwiqdvHg
2019-05-04 00:50:00,https://apple.news/AAgY-Kh1QSlSchO7dT0YTkQ,https://apple.news/Ad8zuDwiuT0yZo839CmNV7g,https://apple.news/AqIdzxu6MQNK-xCOw-qdmEg,https://apple.news/A4f5GIXovQ1yj3Ag3tZIRpg,https://apple.news/AptR0WNr1R-S2GmpwiqdvHg
2019-05-04 00:55:01,https://apple.news/AAgY-Kh1QSlSchO7dT0YTkQ,https://apple.news/Ad8zuDwiuT0yZo839CmNV7g,https://apple.news/AqIdzxu6MQNK-xCOw-qdmEg,https://apple.news/A4f5GIXovQ1yj3Ag3tZIRpg,https://apple.news/AptR0WNr1R-S2GmpwiqdvHg
2019-05-04 01:00:01,https://apple.news/AAgY-Kh1QSlSchO7dT0YTkQ,https://apple.news/Ad8zuDwiuT0yZo839CmNV7g,https://apple.news/AqIdzxu6MQNK-xCOw-qdmEg,https://apple.news/A4f5GIXovQ1yj3Ag3tZIRpg,https://apple.news/AptR0WNr1R-S2GmpwiqdvHg
2019-05-04 01:05:01,https://apple.news/AAgY-Kh1QSlSchO7dT0YTkQ,https://apple.news/Ad8zuDwiuT0yZo839CmNV7g,https://apple.news/AqIdzxu6MQNK-xCOw-qdmEg,https://apple.news/A4f5GIXovQ1yj3Ag3tZIRpg,https://apple.news/AptR0WNr1R-S2GmpwiqdvHg
2019-05-04 01:10:00,https://apple.news/AAgY-Kh1QSlSchO7dT0YTkQ,https://apple.news/Ad8zuDwiuT0yZo839CmNV7g,https://apple.news/AqIdzxu6MQNK-xCOw-qdmEg,https://apple.news/A4f5GIXovQ1yj3Ag3tZIRpg,https://apple.news/AptR0WNr1R-S2GmpwiqdvHg
2019-05-04 01:15:01,https://apple.news/AAgY-Kh1QSlSchO7dT0YTkQ,https://apple.news/Ad8zuDwiuT0yZo839CmNV7g,https://apple.news/AqIdzxu6MQNK-xCOw-qdmEg,https://apple.news/A4f5GIXovQ1yj3Ag3tZIRpg,https://apple.news/AptR0WNr1R-S2GmpwiqdvHg
2019-05-04 01:20:00,https://apple.news/AAgY-Kh1QSlSchO7dT0YTkQ,https://apple.news/Ad8zuDwiuT0yZo839CmNV7g,https://apple.news/AqIdzxu6MQNK-xCOw-qdmEg,https://apple.news/A4f5GIXovQ1yj3Ag3tZIRpg,https://apple.news/AptR0WNr1R-S2GmpwiqdvHg
2019-05-04 01:25:00,https://apple.news/AAgY-Kh1QSlSchO7dT0YTkQ,https://apple.news/Ad8zuDwiuT0yZo839CmNV7g,https://apple.news/AqIdzxu6MQNK-xCOw-qdmEg,https://apple.news/A4f5GIXovQ1yj3Ag3tZIRpg,https://apple.news/AptR0WNr1R-S2GmpwiqdvHg
2019-05-04 01:30:00,https://apple.news/AAgY-Kh1QSlSchO7dT0YTkQ,https://apple.news/Ad8zuDwiuT0yZo839CmNV7g,https://apple.news/AqIdzxu6MQNK-xCOw-qdmEg,https://apple.news/A4f5GIXovQ1yj3Ag3tZIRpg,https://apple.news/AptR0WNr1R-S2GmpwiqdvHg
2019-05-04 01:35:01,https://apple.news/AAgY-Kh1QSlSchO7dT0YTkQ,https://apple.news/Ad8zuDwiuT0yZo839CmNV7g,https://apple.news/AqIdzxu6MQNK-xCOw-qdmEg,https://apple.news/A4f5GIXovQ1yj3Ag3tZIRpg,https://apple.news/AptR0WNr1R-S2GmpwiqdvHg
2019-05-04 01:40:00,https://apple.news/AAgY-Kh1QSlSchO7dT0YTkQ,https://apple.news/Ad8zuDwiuT0yZo839CmNV7g,https://apple.news/AqIdzxu6MQNK-xCOw-qdmEg,https://apple.news/A4f5GIXovQ1yj3Ag3tZIRpg,https://apple.news/AptR0WNr1R-S2GmpwiqdvHg
